ticker,category,status,ai_score,notes
TSLA,Priority,Active,88,Tesla main watch
NVDA,Priority,Active,92,Nvidia AI leader
AAPL,Priority,Active,61,Apple
AMD,Priority,Active,87,Semiconductors
PLTR,Priority,Active,78,AI breakout
SPY,Market,Active,55,S&P500
QQQ,Market,Active,59,Nasdaq
